experiment,case_id,dataset,model,method,reasoning_effort,total_attempts,passed_first_try,max_retries_exceeded,pipeline_failed,has_word_count_issue,first_attempt_word_count,has_citation_issue,has_refusal,has_api_none,log_error_types,final_word_count,num_candidates,duration_seconds
gpt-5.1-answer-first-3,1,archehr-dev,gpt-5.1,answer_first,medium,3,False,False,False,True,97.0,False,False,False,,67.0,3,45.92
gpt-5.1-answer-first-3,10,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,59.0,3,46.048
gpt-5.1-answer-first-3,11,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,68.0,3,72.85
gpt-5.1-answer-first-3,12,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,69.0,3,34.727
gpt-5.1-answer-first-3,13,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,70.0,3,37.442
gpt-5.1-answer-first-3,14,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,39.0,3,18.192
gpt-5.1-answer-first-3,15,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,73.0,3,24.222
gpt-5.1-answer-first-3,16,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,66.0,3,63.065
gpt-5.1-answer-first-3,17,archehr-dev,gpt-5.1,answer_first,medium,2,False,False,False,True,76.0,False,False,False,,66.0,3,77.923
gpt-5.1-answer-first-3,18,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,70.0,3,40.283
gpt-5.1-answer-first-3,19,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,67.0,3,24.316
gpt-5.1-answer-first-3,2,archehr-dev,gpt-5.1,answer_first,medium,5,False,False,False,True,81.0,False,False,True,api_none,75.0,2,24.929
gpt-5.1-answer-first-3,20,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,71.0,3,21.072
gpt-5.1-answer-first-3,3,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,50.0,3,23.931
gpt-5.1-answer-first-3,4,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,67.0,3,41.442
gpt-5.1-answer-first-3,5,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,64.0,3,34.753
gpt-5.1-answer-first-3,6,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,73.0,3,42.64
gpt-5.1-answer-first-3,7,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,70.0,3,31.042
gpt-5.1-answer-first-3,8,archehr-dev,gpt-5.1,answer_first,medium,4,False,False,False,True,81.0,False,False,True,api_none,64.0,2,94.455
gpt-5.1-answer-first-3,9,archehr-dev,gpt-5.1,answer_first,medium,4,False,False,False,True,106.0,False,False,False,,74.0,3,64.813
gpt-5.1-answer-first-v10-med-k1,1,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,73.0,1,18.296
gpt-5.1-answer-first-v10-med-k1,10,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,72.0,1,36.657
gpt-5.1-answer-first-v10-med-k1,11,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,73.0,1,15.011
gpt-5.1-answer-first-v10-med-k1,12,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,71.0,1,27.4
gpt-5.1-answer-first-v10-med-k1,13,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,13.329
gpt-5.1-answer-first-v10-med-k1,14,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,71.0,1,19.436
gpt-5.1-answer-first-v10-med-k1,15,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,73.0,1,25.77
gpt-5.1-answer-first-v10-med-k1,16,archehr-dev,gpt-5.1,answer_first,medium,3,False,False,False,True,80.0,False,False,False,,74.0,1,55.268
gpt-5.1-answer-first-v10-med-k1,17,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,36.715
gpt-5.1-answer-first-v10-med-k1,18,archehr-dev,gpt-5.1,answer_first,medium,3,False,False,False,True,82.0,False,False,False,,77.0,1,31.924
gpt-5.1-answer-first-v10-med-k1,19,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,17.336
gpt-5.1-answer-first-v10-med-k1,2,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,18.482
gpt-5.1-answer-first-v10-med-k1,20,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,16.098
gpt-5.1-answer-first-v10-med-k1,3,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,13.337
gpt-5.1-answer-first-v10-med-k1,4,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,70.0,1,30.416
gpt-5.1-answer-first-v10-med-k1,5,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,75.0,1,18.403
gpt-5.1-answer-first-v10-med-k1,6,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,75.0,1,24.781
gpt-5.1-answer-first-v10-med-k1,7,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,74.0,1,24.95
gpt-5.1-answer-first-v10-med-k1,8,archehr-dev,gpt-5.1,answer_first,medium,1,True,False,False,False,,False,False,False,,75.0,1,48.995
